order_id,order_date,customer_id,product_id,category,region,sales_channel,quantity,unit_price,sales_amount,payment_type,discount_pct
O000001,2026-02-08,C1460,P0349,Electronics,North,Marketplace,3.0,1171.74,2812.18,Pix,0.2
O000002,2026-02-08,C0122,P0215,Home,South,Online,3.0,694.28,1666.27,Credit Card,0.2
O000003,2026-02-05,C0872,P0152,Office,North,Marketplace,3.0,40.67,115.91,Boleto,0.05
O000004,2026-01-24,C1438,P0294,Electronics,North,Online,2.0,280.92,449.47,Debit Card,0.2
O000005,2026-02-02,C0460,P0314,Home,Northeast,Marketplace,5.0,653.6,3268.0,Credit Card,0.0
O000006,2026-01-27,C1083,P0170,Office,South,Marketplace,4.0,1460.9,5259.24,Boleto,0.1
O000007,2026-02-13,C1268,P0320,Home,Midwest,Marketplace,1.0,79.21,71.29,Pix,0.1
O000008,2026-01-07,C0021,P0329,Electronics,South,Marketplace,2.0,1423.84,2420.53,Boleto,0.15
O000010,2026-01-28,C1391,P0264,Accessories,North,Online,3.0,1364.89,3480.47,Boleto,0.15
O000011,2026-02-19,C1412,P0002,Electronics,Southeast,Store,2.0,855.87,1369.39,Pix,0.2
O000012,2026-01-18,C0730,P0044,Electronics,Midwest,Marketplace,2.0,598.77,1017.91,Credit Card,0.15
O000013,2026-01-14,C0816,P0271,Toys,North,Marketplace,4.0,77.39,247.65,Pix,0.2
O000014,2026-01-16,C0338,P0367,Office,Southeast,Marketplace,5.0,884.26,4421.3,Debit Card,0.0
O000015,2026-03-01,C0188,P0380,Electronics,North,Marketplace,5.0,219.98,879.92,Debit Card,0.2
O000016,2026-01-01,C0521,P0344,Accessories,North,Online,1.0,306.09,275.48,Credit Card,0.1
O000018,2026-01-05,C0231,P0041,Home,Southeast,Store,4.0,1296.02,4406.47,Debit Card,0.15
O000019,2026-02-03,C1057,P0048,Accessories,North,Marketplace,5.0,1097.11,4937.0,Debit Card,0.1
O000020,2026-02-04,C0961,P0227,Office,South,Online,5.0,1457.85,6560.32,Boleto,0.1
O000021,2026-01-01,C1029,P0218,Toys,Southeast,Marketplace,3.0,788.87,2248.28,Debit Card,0.05
O000023,2026-01-30,C0485,P0231,Accessories,Midwest,Store,5.0,814.36,3257.44,Credit Card,0.2
O000024,2026-02-05,C0525,P0160,Home,Northeast,Marketplace,3.0,1045.23,2665.34,Pix,0.15
O000025,2026-01-02,C0682,P0045,Home,Midwest,Store,1.0,167.19,142.11,Boleto,0.15
O000026,2026-01-28,C1364,P0286,Home,Southeast,Online,3.0,493.27,1257.84,Debit Card,0.15
O000027,2026-01-25,C1255,P0190,Office,Northeast,Store,1.0,415.48,373.93,Boleto,0.1
O000028,2026-02-26,C0628,P0233,Office,Midwest,Store,3.0,20.36,54.97,Debit Card,0.1
O000029,2026-01-09,C0318,P0165,Home,Northeast,Store,1.0,188.6,160.31,Credit Card,0.15
O000031,2026-02-27,C0564,P0268,Toys,Northeast,Online,2.0,1071.28,1714.05,Boleto,0.2
O000032,2026-02-18,C0952,P0081,Toys,Northeast,Store,3.0,918.25,2617.01,Pix,0.05
O000034,2026-02-22,C0730,P0160,Office,Southeast,Marketplace,4.0,130.47,469.69,Pix,0.1
O000035,2026-01-17,C0767,P0294,Electronics,Southeast,Store,5.0,952.14,4284.63,Debit Card,0.1
O000036,2026-02-17,C0144,P0097,Toys,North,Marketplace,1.0,487.96,390.37,Pix,0.2
O000037,2026-01-03,C0660,P0252,Office,South,Marketplace,3.0,338.16,963.76,Credit Card,0.05
O000038,2026-01-03,C0147,P0148,Accessories,Northeast,Marketplace,4.0,1411.38,5363.24,Debit Card,0.05
O000039,2026-02-09,C0641,P0267,Home,Southeast,Online,4.0,1105.47,4200.79,Credit Card,0.05
O000040,2026-01-23,C1439,P0298,Office,Southeast,Store,3.0,350.54,999.04,Credit Card,0.05
O000041,2026-02-17,C1017,P0060,Electronics,Southeast,Store,1.0,370.36,314.81,Debit Card,0.15
O000042,2026-01-05,C1061,P0160,Electronics,South,Marketplace,3.0,291.17,873.51,Credit Card,0.0
O000043,2026-02-04,C0816,P0208,Electronics,Midwest,Online,3.0,1285.92,3857.76,Debit Card,0.0
O000044,2026-01-24,C0628,P0075,Home,Midwest,Marketplace,1.0,250.83,213.21,Debit Card,0.15
O000045,2026-02-04,C1136,P0099,Accessories,Northeast,Marketplace,1.0,17.54,16.66,Boleto,0.05
O000046,2026-01-02,C0822,P0163,Home,Northeast,Marketplace,5.0,344.16,1720.8,Debit Card,0.0
O000047,2026-01-04,C0801,P0398,Accessories,Midwest,Marketplace,5.0,276.45,1244.03,Pix,0.1
O000048,2026-01-17,C0640,P0033,Toys,Northeast,Store,4.0,768.13,2458.02,Credit Card,0.2
O000049,2026-02-20,C0438,P0264,Home,South,Online,3.0,657.25,1577.4,Pix,0.2
O000050,2026-01-30,C0284,P0367,Electronics,Northeast,Marketplace,1.0,300.91,240.73,Debit Card,0.2
O000051,2026-02-17,C0659,P0004,Office,South,Online,3.0,1155.15,3465.45,Credit Card,0.0
O000052,2026-02-13,C1244,P0158,Electronics,South,Online,5.0,426.54,1919.43,Credit Card,0.1
O000053,2026-03-01,C1061,P0280,Accessories,North,Marketplace,5.0,647.99,2591.96,Debit Card,0.2
O000054,2026-01-31,C1123,P0188,Accessories,Midwest,Online,1.0,122.27,97.82,Debit Card,0.2
O000055,2026-01-21,C0928,P0161,Office,Northeast,Store,3.0,262.54,787.62,Debit Card,0.0
O000056,2026-02-11,C0566,P0058,Toys,Midwest,Online,3.0,859.39,2449.26,Credit Card,0.05
O000057,2026-02-01,C0854,P0151,Electronics,Midwest,Store,2.0,388.7,738.53,Boleto,0.05
O000058,2026-01-02,C0785,P0104,Toys,Midwest,Marketplace,1.0,213.57,170.86,Credit Card,0.2
O000060,2026-03-01,C0903,P0313,Electronics,South,Online,4.0,1199.46,4797.84,Debit Card,0.0
O000061,2026-01-08,C0512,P0400,Office,Midwest,Online,4.0,1331.06,4525.6,Boleto,0.15
O000062,2026-02-03,C0834,P0288,Home,Southeast,Store,3.0,703.74,1688.98,Debit Card,0.2
O000063,2026-01-22,C0314,P0058,Electronics,Midwest,Marketplace,1.0,65.65,59.09,Credit Card,0.1
O000064,2026-03-01,C0613,P0264,Electronics,Northeast,Online,5.0,414.6,1762.05,Credit Card,0.15
O000065,2026-01-05,C1127,P0196,Home,South,Store,5.0,299.63,1348.34,Boleto,0.1
O000067,2026-01-30,C0657,P0120,Home,Midwest,Online,3.0,664.07,1892.6,Boleto,0.05
O000068,2026-02-06,C1498,P0117,Accessories,Midwest,Store,1.0,1035.86,1035.86,Boleto,0.0
O000069,2026-02-27,C0634,P0001,Office,Midwest,Online,2.0,367.28,734.56,Debit Card,0.0
O000070,2026-02-09,C1261,P0373,Accessories,South,Online,1.0,1432.75,1146.2,Credit Card,0.2
O000071,2026-01-22,C0861,P0247,Accessories,North,Online,3.0,379.12,1023.62,Boleto,0.1
O000072,2026-02-06,C1110,P0185,Office,Northeast,Online,5.0,182.95,731.8,Credit Card,0.2
O000073,2026-02-16,C1009,P0094,Office,North,Online,4.0,271.24,1030.71,Credit Card,0.05
O000074,2026-01-26,C0432,P0341,Office,North,Marketplace,4.0,268.07,857.82,Debit Card,0.2
O000075,2026-01-23,C0522,P0246,Toys,North,Marketplace,5.0,1331.15,5657.39,Debit Card,0.15
O000076,2026-01-31,C0762,P0147,Office,Northeast,Online,2.0,756.55,1210.48,Credit Card,0.2
O000077,2026-02-14,C0516,P0016,Toys,Northeast,Marketplace,2.0,49.5,89.1,Pix,0.1
O000078,2026-01-20,C0690,P0163,Accessories,South,Marketplace,4.0,201.47,644.7,Pix,0.2
O000079,2026-02-20,C1451,P0101,Home,Southeast,Store,4.0,585.29,2341.16,Debit Card,0.0
O000080,2026-02-09,C1067,P0044,Accessories,Midwest,Store,5.0,113.35,538.41,Credit Card,0.05
O000081,2026-02-20,C0754,P0035,Electronics,Midwest,Marketplace,1.0,987.03,789.62,Credit Card,0.2
O000082,2026-01-26,C0970,P0090,Electronics,Northeast,Online,2.0,398.43,677.33,Pix,0.15
O000083,2026-02-27,C1099,P0376,Home,Southeast,Online,4.0,632.74,2024.77,Debit Card,0.2
O000085,2026-02-18,C1123,P0036,Office,Southeast,Marketplace,2.0,382.52,612.03,Credit Card,0.2
O000086,2026-01-12,C1393,P0183,Office,Southeast,Marketplace,5.0,1112.46,5006.07,Credit Card,0.1
O000087,2026-02-10,C1297,P0369,Home,Southeast,Online,4.0,1241.42,3972.54,Credit Card,0.2
O000088,2026-02-28,C1043,P0177,Office,South,Store,4.0,26.15,104.6,Pix,0.0
O000089,2026-01-19,C0076,P0265,Office,South,Marketplace,4.0,1425.59,4847.01,Pix,0.15
O000090,2026-01-19,C1391,P0144,Home,Southeast,Marketplace,5.0,146.64,623.22,Boleto,0.15
O000091,2026-01-25,C0948,P0379,Accessories,North,Online,5.0,1131.04,5655.2,Boleto,0.0
O000092,2026-02-08,C0109,P0181,Accessories,North,Online,2.0,1461.63,2777.1,Pix,0.05
O000093,2026-01-05,C1187,P0215,Home,Southeast,Online,5.0,532.86,2531.08,Boleto,0.05
O000094,2026-02-16,C0588,P0009,Office,Midwest,Marketplace,2.0,1257.08,2514.16,Credit Card,0.0
O000095,2026-02-07,C1198,P0141,Electronics,North,Marketplace,2.0,601.01,1081.82,Debit Card,0.1
O000096,2026-02-27,C1218,P0005,Office,North,Store,5.0,136.41,613.84,Debit Card,0.1
O000097,2026-01-08,C1389,P0321,Toys,South,Online,4.0,362.66,1450.64,Pix,0.0
O000098,2026-02-14,C1156,P0292,Accessories,North,Store,4.0,134.42,430.14,Debit Card,0.2
O000099,2026-02-13,C1206,P0167,Home,North,Store,3.0,380.6,1027.62,Boleto,0.1
O000100,2026-02-08,C1150,P0173,Office,South,Online,5.0,613.75,2915.31,Debit Card,0.05
O000101,2026-01-20,C0476,P0317,Home,Midwest,Online,1.0,1118.88,1006.99,Debit Card,0.1
O000102,2026-01-13,C0348,P0190,Accessories,Midwest,Marketplace,1.0,568.56,568.56,Debit Card,0.0
O000103,2026-01-25,C0824,P0117,Accessories,South,Marketplace,2.0,28.11,44.98,Credit Card,0.2
O000104,2026-02-16,C1173,P0080,Toys,North,Store,5.0,1489.52,5958.08,Debit Card,0.2
O000105,2026-02-05,C1251,P0147,Home,Midwest,Store,4.0,122.4,489.6,Pix,0.0
O000106,2026-02-18,C1167,P0001,Home,South,Online,5.0,1048.42,4717.89,Debit Card,0.1
O000108,2026-01-24,C0668,P0373,Accessories,Southeast,Marketplace,2.0,290.3,551.57,Boleto,0.05
O000109,2026-01-08,C0698,P0316,Office,Southeast,Online,2.0,406.25,650.0,Credit Card,0.2
O000110,2026-02-10,C0740,P0192,Accessories,South,Marketplace,3.0,1050.26,3150.78,Pix,0.0
O000111,2026-01-09,C0929,P0212,Electronics,North,Marketplace,5.0,1030.25,4121.0,Boleto,0.2
O000112,2026-01-13,C1277,P0390,Accessories,Southeast,Store,2.0,630.79,1009.26,Credit Card,0.2
O000113,2026-02-16,C0450,P0010,Toys,Northeast,Online,2.0,831.87,1330.99,Pix,0.2
O000114,2026-02-24,C1016,P0289,Electronics,Midwest,Online,1.0,725.75,725.75,Debit Card,0.0
O000115,2026-01-11,C0853,P0282,Accessories,Midwest,Online,1.0,1455.17,1309.65,Pix,0.1
O000116,2026-02-18,C1485,P0098,Office,Southeast,Marketplace,1.0,628.08,628.08,Credit Card,0.0
O000117,2026-01-21,C0823,P0006,Accessories,Northeast,Store,4.0,1221.22,3907.9,Boleto,0.2
O000118,2026-02-07,C0771,P0023,Accessories,Midwest,Marketplace,5.0,1091.92,5186.62,Pix,0.05
O000119,2026-01-10,C0083,P0145,Office,South,Online,5.0,681.31,3406.55,Boleto,0.0
O000120,2026-02-20,C0685,P0205,Toys,South,Marketplace,4.0,350.68,1402.72,Pix,0.0
O000121,2026-02-09,C0034,P0348,Toys,Northeast,Online,2.0,752.27,1354.09,Pix,0.1
O000122,2026-02-28,C1330,P0268,Accessories,South,Store,1.0,832.34,665.87,Pix,0.2
O000123,2026-01-30,C0763,P0313,Toys,Midwest,Store,1.0,209.68,167.74,Debit Card,0.2
O000124,2026-01-21,C0578,P0075,Office,Midwest,Marketplace,3.0,1355.7,3457.04,Debit Card,0.15
O000125,2026-02-03,C0806,P0306,Electronics,Southeast,Marketplace,2.0,958.6,1725.48,Pix,0.1
O000126,2026-02-20,C0447,P0308,Electronics,South,Marketplace,1.0,775.84,659.46,Pix,0.15
O000127,2026-01-30,C0759,P0106,Home,South,Online,3.0,1049.49,2518.78,Credit Card,0.2
O000128,2026-01-04,C0138,P0184,Electronics,South,Store,1.0,743.25,631.76,Credit Card,0.15
O000129,2026-01-20,C0984,P0069,Toys,Midwest,Marketplace,2.0,935.0,1776.5,Debit Card,0.05
O000130,2026-01-13,C0126,P0235,Toys,Midwest,Store,3.0,367.82,993.11,Debit Card,0.1
O000131,2026-02-16,C0761,P0151,Home,North,Online,3.0,216.85,552.97,Boleto,0.15
O000132,2026-02-09,C0900,P0184,Home,South,Marketplace,1.0,1346.21,1211.59,Boleto,0.1
O000133,2026-01-27,C0093,P0160,Electronics,Northeast,Online,2.0,906.88,1632.38,Credit Card,0.1
O000134,2026-01-19,C1029,P0092,Toys,South,Store,2.0,273.75,438.0,Pix,0.2
O000135,2026-01-06,C0645,P0233,Toys,Northeast,Marketplace,4.0,317.44,1206.27,Boleto,0.05
O000136,2026-02-18,C1102,P0218,Office,Midwest,Online,5.0,489.16,2323.51,Boleto,0.05
